name,units,count(units),group_concat(comment),column_name
SeqDay,unitless,2,"Number of days since the beginning of the OFP time-series (SeqDay 1=4 April 1978). The SeqDay is the first day of the sample collection period.,Number of days since the beginning of the OFP time-series (SeqDay 1=4 April 1978). The SeqDay is the first day of the sample collection period.",NA
Si,%,156,"amorphous,bulk,amorphous,total,amorphous,bulk,amorphous,bulk,amorphous,bulk,amorphous,bulk,amorphous,bulk,amorphous,bulk,amorphous,bulk,amorphous,total,amorphous,total,amorphous,total,amorphous,total,amorphous,total,amorphous,total,amorphous,total,amorphous,total,of total lithogenic material,particulate,particulate,particulate,particulate,particulate,particulate,detection limit 20 ppm,leached,residue,mass %,fraction < 2mm, detection limit 10 ppm,fraction < 2mm, detection limit 1 ppm,fraction < 2mm, detection limit 20 ppm,fraction < 2mm, detection limit 10 ppm,fraction < 2mm, detection limit 0.23 %,concentration of silica,Silica",psi
Si e,±,4,"Reproducibility: very good,Reproducibility: very good,Reproducibility: very good",psi_sd
Si flux,mmol/m**2/day,9,"particle size less than 1 mm,particle size less than 1 mm,particle size less than 1 mm,particle size less than 1 mm,particle size less than 1 mm,particle size less than 1 mm,particle size less than 1 mm,particle size less than 1 mm",psi
Si flux,±,13,biogenic silica flux,psi
Si std dev,±,5,,psi_sd
Si(OH)4 flux,mmol/m**2/day,110,,psi_oh_4
SiO2,%,448,"calculated on volatile-free basis,Reported in LaGatta (2003),of bulk sediment,of bulk sediment,silt fraction of moraine,of bulk sediment,of bulk sediment,of bulk sediment,of bulk sediment,shipboard,Leicester,Amherst,of bulk sediment,n = 28,from Heath et al. (1985), converted to oxides,normalized,from Heath et al. (1985), converted to oxides,anhydrous,†,theoretical,wt.%,mass percentages,salt corrected, mass percentages,mass percentages,salt corrected, mass percentages,Internal standard concentration (oxide weight %),Method 3,Original unit is in [g/100g] on anhydrous basis.,wt.%,wt.%,recalculated,anhydrous,wt.%",psio2
SiO2 carb free,%,4,,psio2
SiO2 std dev,±,11,n = 28,psio2_sd
SiO2 xs,%,3,"calculated after Böning et al. (2005) (doi:10.1016/j.margeo.2005.07.005) using salt corrected data, mass percentages,Böning et al. (2005) (doi:10.1016/j.margeo.2005.07.005) using salt corrected data; mass percentages",psio2
Si_QC,unitless,1,quality control flag,psi_qc
Sigma_C_org,mg C m-2 d-1,1,Standard deviation of replicated organic carbon flux measurements,poc_sd
Sigma_Chl,mg Chl a m-2 d-1,1,Standard deviation of replicated chlorophyll flux (Chl a) measurements.,chl_sd
Sigma_N_org,mg N m-2 d-1,1,Standard deviation of replicated nitrogen flux measurements,pon_sd
Sigma_Phaeo,mg Chl a m-2 d-1,1,Standard deviation of replicated phaeopigment flux measurements.,pheop_sd
Silica_flux,mg/m2/d,1,Silica (mg/m2/d),psi
Silica_flux_SD,mg/m2/d,1,Standard Deviation presented where n=3. Difference between replicate presented where n=2,psi_sd
Start,YYYY-MM-DD,36,"starting date,starting date,starting date,starting date,starting date,starting date,starting date,starting date,starting date,starting date,starting date,starting date,starting date,starting date,starting date,starting date,starting date,starting date,starting date,starting date,starting date,starting date,starting date,starting date,starting date,starting date,starting date,starting date,starting date,starting date,starting date,starting date,starting date,starting date,starting date,starting date",timestamp
TC,%,81,"wt. %,% sed dry mass,mass %,mass percentages,salt corrected, mass percentages,mass percentages,salt corrected, mass percentages,wt.%",carbon_total
TC flux,%,14,"wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%",carbon_total
TC flux,mg m**2 day*1,36,"sinking_flux_of_particulate_total_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_total_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_total_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_total_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_total_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_total_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_total_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_total_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_total_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_total_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_total_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_total_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_total_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_total_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_total_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_total_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_total_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_total_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_total_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_total_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_total_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_total_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_total_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_total_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_total_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_total_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_total_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_total_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_total_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_total_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_total_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_total_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_total_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_total_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_total_carbon_in_sea  [mg m-2 d-1],sinking_flux_of_particulate_total_carbon_in_sea  [mg m-2 d-1]",carbon_total
TC std dev,±,10,,carbon_total_sd
TCCF,milligram/m2/day,1,mean flux of particulate total carbon for the next 15 days.,carbon_total
TCCF_QC,unitless,1,,carbon_total_qc
TC_QF,unitless,36,"quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag,quality flag",carbon_total_qc
TC_f,mg/m**2/d,1,"Total carbon flux of the sinking fraction operationally defined as particles <350 um. The carbon measured in all process blanks from the five cruises was averaged to determine the mean process blank in sediment trap tubes for the field program (0.11 +/-0.2 mg C). This mean process blank was subtracted from the total carbon measured in each trap sample, and the result was divided by the trap collection area (0.0113 m^2) and the deployment length to yield flux. Reported fluxes are the mean of measurements from 2 or 3 tubes.",carbon_total
TC_f_A,mmol/m**2/d,1,total carbon flux of split A,carbon_total
TC_f_B,mmol/m**2/d,1,total carbon flux of split B,carbon_total
TC_f_C,mmol/m**2/d,1,total carbon flux of split C,carbon_total
TC_f_D,mmol/m**2/d,1,total carbon flux of split D,carbon_total
TC_f_err,mg/m**2/d,1,Total carbon flux error; Uncertainties are propagated from the standard deviation of the process blanks from the five cruises (0.2 mg C) and the standard deviation or range of the two or three TC measurements per NBST deployment: TC_f_err = (STD tubes^2 + STD blanks^2)^1/2 / deployment length / trap area; For depths with only two replicate analyses the range of the TC fluxes measured in each tube is used in place of STDtubes in the above equation.,carbon_total_sd
TC_f_err_A,mmol/m**2/d,1,"total carbon flux uncertainty of split A, propagated from the per-filter analytical error",carbon_total_sd
TC_f_err_B,mmol/m**2/d,1,"total carbon flux uncertainty of split B, propagated from the per-filter analytical error",carbon_total_sd
TC_f_err_C,mmol/m**2/d,1,"total carbon flux uncertainty of split C, propagated from the per-filter analytical error",carbon_total_sd
TC_f_err_D,mmol/m**2/d,1,"total carbon flux uncertainty of split D, propagated from the per-filter analytical error",carbon_total_sd
TC_f_err_mean,mmol/m**2/d,1,"total carbon flux uncertainty, propagated from the maximum of either the per-filter analytical error or the standard deviation among replicate filter splits",carbon_total_sd
TC_f_mean,mmol/m**2/d,1,"mean total carbon flux of splits A, B, C, D",carbon_total
TIC,%,55,"Inorganic carbon content of trapped particulate matter,Inorganic carbon content of trapped particulate matter,Inorganic carbon content of trapped particulate matter,Inorganic carbon content of trapped particulate matter,Inorganic carbon content of trapped particulate matter,Inorganic carbon content of trapped particulate matter,C/N analyser results on total - acidified samples (centrifuged),C/N analyser results on total - acidified samples (centrifuged),C/N analyser results on total - acidified samples (centrifuged),C/N analyser results on total - acidified samples (centrifuged),mass percentages,salt corrected, mass percentages,mass percentages,salt corrected, mass percentages,wt.%",pic
TIC std dev,±,6,,pic_sd
TIME,YYYY-MM-DD,56,"time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time",timestamp
TIME_BOUNDS_END,unitless,1,,time_recovered
TIME_BOUNDS_START,unitless,1,,timestamp
TIME_END,unitless,56,"time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed,time sample closed",time_recovered
TIME_START,unitless,56,"time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open,time sample open",timestamp
TMF,mg m-2 day-1,1,Total Mass Flux,mass_total
TMF_QC,unitless,1,quality control flag,mass_total_qc
TN,%,196,"Total nitrogen content of trapped particulate matter,Total nitrogen content of trapped particulate matter,Total nitrogen content of trapped particulate matter,Total nitrogen content of trapped particulate matter,Total nitrogen content of trapped particulate matter,Total nitrogen content of trapped particulate matter,wt. %,centrifuged,centrifuged,centrifuged,centrifuged,Carbon/nitrogen analyser - 0.4-0.45 µm pore filtered,% sed dry mass,determined at University of Rhode Island,mass %,fraction < 2mm, detection limit 0.1 %",pon
TNNF,milligram/m2/day,1,mean flux of particulate total nitrogen for the next 15 days,pon
TNNF_QC,unitless,1,,pon_qc
TOC,%,320,"Organic carbon content of trapped particulate matter,Organic carbon content of trapped particulate matter,Organic carbon content of trapped particulate matter,Organic carbon content of trapped particulate matter,Organic carbon content of trapped particulate matter,Organic carbon content of trapped particulate matter,in dry samples,wt. %,of total biogenic material,determined at University of Rhode Island,determined at University of Rhode Islan,published in Muratli et al. 2010,fraction < 2mm, detection limit 0.1 %,wt. %",poc
TOC flux,%,16,"wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%",poc
TOC flux,g/m**2/a,7,"1000 m,to 1000 m water depth",poc
TOC flux,mg/m**2/day,53,"Corg,Corg,OC flux at 100 m depth using equation of Pace et al., (1987),OC flux at 100 m depth using equation of Berger et al. (1987)",poc
TOC flux,mmol/m**2/day,37,"particle size less than 1 mm,particle size less than 1 mm,particle size less than 1 mm,particle size less than 1 mm,particle size less than 1 mm,particle size less than 1 mm,particle size less than 1 mm,particle size less than 1 mm,size fraction < 1 mm,size fraction < 1 mm,size fraction < 1 mm,size fraction < 1 mm,size fraction < 1 mm,size fraction < 1 mm,size fraction < 1 mm",poc
TOC flux std dev,±,9,,poc_sd
TOC std dev,±,14,unfiltered,poc_sd
TP flux,mmol/m**2/day,2,,pop
TP flux,µg/m**2/day,15,"reactive,reactive,reactive,reactive,reactive,reactive",pop
TPC flux,mmol/m**2/day,5,,carbon_total
TSMF,milligram/m2/day,1,mean flux of particulate matter for the next 15 days.,mass_total
TSMF_QC,unitless,1,,mass_total_qc
Ti,%,163,"mass %,fraction < 2mm, detection limit 0.5 ppm,fraction < 2mm, detection limit 0.05 ppm,fraction < 2mm, detection limit 0.5 ppm,fraction < 2mm, detection limit 30 ppm,concentration of titanium,Titanium",ti
Ti e,±,4,"Reproducibility: very good,Reproducibility: very good,Reproducibility: very good",ti_sd
Ti flux,µg/cm**2/a,5,,ti
Ti flux,µg/m**2/day,4,,ti
Ti std dev,±,16,"2Sigma Error,2Sigma Error",ti_sd
Ti unc,±,4,measured in sediment (grain size <63 µm),ti_sd
Ti_QC,unitless,1,quality control flag,ti_qc
Time,days,7,"Trap rotation,Decay,Days post hatch,Days post hatch,rebound time",duration
Time,h,44,,NA
Time,min,2,maximum closure time of chamber during measurement,NA
Time,s,15,"Time to closest acoustic fix,lamp,Time to closest acoustic fix,Time to closest acoustic fix,lamp,lamp,Time to closest acoustic fix,Time to closest acoustic fix,Time to closest acoustic fix,Ablation,Start,End,Analyses interval,Ablation duration,Counting time",NA
Tl,%,1,,ti
Tl e,±,3,"Reproducibility: moderate,Reproducibility: moderate,Reproducibility: moderate",ti_sd
Tl std dev,±,1,,ti_sd
Tl unc,±,4,measured in sediment (grain size <63 µm),ti_sd
Tot mass flux,mg/m**2/day,286,"mass flux,Replicate 1,Replicate 2,Replicate 3,Average,mean,median,mean,median,mean,median,mean,median,mean,median,mean,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,3 replicates averaged,Particulate mass flux,total particle flux recovered,Particulate mass flux,Particulate mass flux,Particulate mass flux,total particle flux recovered,total particle flux recovered,total particle flux recovered,total particle flux recovered,total particle flux recovered,total particle flux recovered,total particle flux recovered,total particle flux recovered,Particulate mass flux,Particulate mass flux,at 150m water depth,at 200m water depth,at 300m water depth,Particulate matter flux,Particulate matter flux,Particulate matter flux,Particulate matter flux,Particulate matter flux,Particulate matter flux,total dry weight flux,total particle flux recovered,total particle flux recovered,uncorrected,90 %,75 %",mass_total
Tot mass flux std dev,±,1,,mass_total_sd
Total Particulate Nitrogen Flux (mg/m2/day),mg/m2/day,1,Total Particulate Nitrogen Flux (mg/m2/day),pon
Total Particulate Nitrogen Flux (mg/m2/day) Flag,unitless,1,Total Particulate Nitrogen Flux (mg/m2/day) Flag,pon_qc
Total_C_flux,mg/m2/day,1,Total carbon flux,carbon_total
Total_Flux_mg_cm2_y,mg/cm2/y,1,total flux,NA
Total_Flux_mg_m2_d,mg/m2/d,1,total flux,carbon_total
Total_mass_flux,mg/m2/d,1,Mass (mg/m2/d),carbon_total
Total_mass_flux_SD,mg/m2/d,1,Standard Deviation presented where n=3. Difference between replicate presented where n=2,carbon_total_sd
Trap_Depth,m,2,"trap depth,Sediment trap depth",depth
Treatment,unitless,1,"C-Solutions from individual traps combined and replicate subsamples drawn from this solution. I-Individual traps sampled as replicates.
W-Swimmers picked out before analyzed. O-Some other (special?) treatment.",comments
bSiO2,%,151,"of total flux,of total flux,of total flux,of total flux,of total flux,of total flux,bSi, measured,bSiO2 = bSi * 2.139,bSi, measured,bSiO2 = bSi * 2.139,bSi, measured,bSiO2 = bSi * 2.139,bSi, measured,bSiO2 = bSi * 2.139,bSi, measured,bSiO2 = bSi * 2.139,bSi, measured,bSiO2 = bSi * 2.139,bSi, measured,bSiO2 = bSi * 2.139,of total flux,wt. %,weight fraction,of total flux,amorph., of total biogenic material,salt corrected,mass %,published in Muratli et al. 2010,published in Muratli et al. 2010,wt. %,wt. %,Salt-corrected,sea salt corrected,leaching BSi sea salt corrected,wt. %",psio2
bSiO2 e,%,7,wt. %,psio2
bSiO2 e,±,2,"err RSD,standard error",psio2_sd
bSiO2 flux,%,28,"wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,wt.-%,particle size < 1 mm,particle size < 1 mm,particle size < 1 mm,particle size < 1 mm,particle size < 1 mm,particle size < 1 mm,particle size < 1 mm,particle size < 1 mm,particle size < 1 mm",psio2
bSiO2 flux,g/m**2/a,3,,psio2
bSiO2 flux,mg/m**2/day,193,"BSi (µmol/mg dry weight)*60 (g/mol)*total flux,BSi (µmol/mg dry weight)*60 (g/mol)*total flux,Opal,Opal (biogenic silica)",psio2
bSiO2 flux,mmol/m**2/day,14,"size fraction < 1 mm,size fraction < 1 mm,size fraction < 1 mm,size fraction < 1 mm,size fraction < 1 mm,size fraction < 1 mm,size fraction < 1 mm,averageBSi(mmol m-2d-1)",psio2
bSiO2 flux,mol/m**2/a,88,,psio2
bSiO2 flux std dev,±,7,,psio2_sd
bSiO2 part flux,mg/m**2/day,4,"Average,Total bSi fluxes from PELAGRA traps (Martin et al., 2013)",psio2
bSiO2 std dev,±,13,Salt-corrected,psio2_sd
bSi_f_E,umol/m**2/d,1,biogenic silica flux of split E,psi
bSi_f_F,umol/m**2/d,1,biogenic silica flux of split F,psi
bSi_f_G,umol/m**2/d,1,biogenic silica flux of split G,psi
bSi_f_H,umol/m**2/d,1,biogenic silica flux of split H,psi
bSi_f_err_E,umol/m**2/d,1,"biogenic silica flux uncertainty of split E,propagated from the per-filter analytical error",psi_sd
bSi_f_err_F,umol/m**2/d,1,"biogenic silica flux uncertainty of split F,propagated from the per-filter analytical error",psi_sd
bSi_f_err_G,umol/m**2/d,1,"biogenic silica flux uncertainty of split G,propagated from the per-filter analytical error",psi_sd
bSi_f_err_H,umol/m**2/d,1,"biogenic silica flux uncertainty of split H,propagated from the per-filter analytical error",psi_sd
bSi_f_err_mean,umol/m**2/d,1,"biogenic silica flux uncertainty,propagated from the maximum of either the per-filter analytical error or the standard deviation among replicate filter splits",psi_sd
bSi_f_mean,umol/m**2/d,1,"mean biogenic silica flux of splits E, F, G, H",psi
bSi_flux_Th,mmol m-2 d-1,1,"Biogenic silica flux, using the thorium-based approach",psi
bSi_flux_Th_sd,mmol m-2 d-1,1,"Standard deviation of biogenic silica flux, using the thorium-based approach. Uncertainty in Th-based approach calculated by propagating uncertainty in upwelling velocity and Th deficiency.",psi_sd
bSi_flux_sed,mmol m-2 d-1,1,Sediment trap-based biogenic silica flux,psi
bSi_flux_sed_sd,mmol m-2 d-1,1,Standard deviation of sediment trap-based biogenic silica flux. Uncertainty is reported as 50% for all sediment trap deployments.,psi_sd
close date (dd/mm/yyyy),dd/mm/yyyy,1,close date (dd/mm/yyyy),time_recovered
close day julian,unitless,1,close day julian,NA
date,yyyymmdd,18,,timestamp
date_end,YYYYMMDD,1,End Date (YYYYMMDD) in HST,time_recovered
date_end,YYmmmdd,2,"Year Month Day    (recovery)           ,Year Month Day    (recovery)           ",time_recovered
date_end,unitless,1,date of collector lid closure or platform recovery (GMT) in ISO 8601 format yyyy-mm-dd,time_recovered
date_end,yyyymmdd,18,,time_recovered
date_recover,unitless,1,date of platform recovery (GMT) in ISO 8601 format yyyy-mm-dd,time_recovered
date_recovered,unitless,1,date/time sediment trap recovered,time_recovered
date_recovery,yyyymmdd,18,,time_recovered
date_resurface,yyyymmdd,18,,NA
date_start,YYYY-MM-DD,4,"time,sample cup opening date,date_start,start date of sample collection in GMT",timestamp
date_start,YYYYMMDD,1,Start Date (YYYYMMDD) in HST,timestamp
date_start,YYmmmdd,2,"Year Month Day    (deployment)  ,Year Month Day    (deployment)  ",timestamp
date_start,unitless,10,"Deployment date and time in format %m/%d/%y %H:%M (e.g. 5/13/17 12:50). Local time zone variesÿbetween US/Eastern and US/Central over the course of this dataset.,date when cup was opened; format: YYYY-MM-DD,Date of deployment; yyyy/mm/dd,date sampling began (GMT) in ISO 8601 format yyyy-mm-dd,Time of sediment trap deployment (local, Hawaii Standard Time),Time,date/time sediment trap deployed,time,Start date in format YYYY-MM-DD,Date of sampling formatted as yyyy-mm-dd",timestamp
date_start,yyyy-MM-DD,1,,timestamp
date_start,yyyymmdd,18,,timestamp
day,unitless,1,2-digit day,NA
depth,m,24,"target depth of sediment trap collectors,depth of trap below water surface,sampling depth in meters,sampling depth in meters,nominal depth,Sample depth",depth
depth,unitless,1,The nominal depth of the NBST. During the July 2013 deployment the NBSTs were programmed to hold depth within +/-25 m of the measurement depth while in subsequent deployments this band was narrowed to +/-10 m.,depth
duration,unitless,1,sample interval,duration
field_blank_corrected_nitrogen_flux_1,mg/m2/d,2,"Field Blank correctedNitrogen flux #1 (mgN/m^2/day)               ,Field Blank correctedNitrogen flux #1 (mgN/m^2/day)               ",pon
field_blank_corrected_nitrogen_flux_2,mg/m2/d,2,"Field Blank correctedNitrogen flux #2 (mgN/m^2/day)               ,Field Blank correctedNitrogen flux #2 (mgN/m^2/day)               ",pon
field_blank_corrected_nitrogen_flux_3,mg/m2/d,2,"Field Blank correctedNitrogen flux #3 (mgN/m^2/day)               ,Field Blank correctedNitrogen flux #3 (mgN/m^2/day)               ",pon
field_blank_corrected_nitrogen_flux_avg,mg/m2/d,2,"Field Blank correctedAverage Nitrogen flux (mgN/m^2/day)         ,Field Blank correctedAverage Nitrogen flux (mgN/m^2/day)         ",pon
field_blank_corrected_organic_carbon_flux_1,mg/m2/d,2,"Field Blank corrected Organic Carbon flux #1 (mgC/m^2/day)               ,Field Blank corrected Organic Carbon flux #1 (mgC/m^2/day)               ",poc
field_blank_corrected_organic_carbon_flux_2,mg/m2/d,2,"Field Blank correctedOrganic Carbon flux #2 (mgC/m^2/day)               ,Field Blank correctedOrganic Carbon flux #2 (mgC/m^2/day)               ",poc
field_blank_corrected_organic_carbon_flux_3,mg/m2/d,2,"Field Blank correctedOrganic Carbon flux #3 (mgC/m^2/day)               ,Field Blank correctedOrganic Carbon flux #3 (mgC/m^2/day)               ",poc
field_blank_corrected_organic_carbon_flux_avg,mg/m2/d,2,"Field Blank correctedAverage Organic Carbon flux (mgC/m^2/day)   ,Field Blank correctedAverage Organic Carbon flux (mgC/m^2/day)   ",poc
flux_Ba,mmol_m^-2_d^-1,2,,ba
flux_Ba_sd,mmol_m^-2_d^-1,2,,ba_sd
flux_P,mmol_m^-2_d^-1,2,,pop
flux_PC,mmol_m^-2_d^-1,4,,carbon_total
flux_PC_sd,mmol_m^-2_d^-1,4,,carbon_total_sd
flux_PIC,mmol_m^-2_d^-1,4,,pic
flux_PIC_sd,mmol_m^-2_d^-1,4,,pic_sd
flux_PN,mmol_m^-2_d^-1,4,,pon
flux_PN_sd,mmol_m^-2_d^-1,4,,pon_sd
flux_POC,mmol_m^-2_d^-1,4,,poc
flux_POC_sd,mmol_m^-2_d^-1,4,,poc_sd
flux_P_sd,mmol_m^-2_d^-1,2,,pop_sd
flux_bSi,mmol_m^-2_d^-1,2,,psi
flux_bSi_sd,mmol_m^-2_d^-1,2,,psi_sd
flux_bsi,mmol_m^-2_d^-1,2,,psi
flux_bsi_sd,mmol_m^-2_d^-1,2,,psi_sd
flux_mass,mg_m^-2_d^-1,4,,mass_total
flux_mass_sd,mg_m^-2_d^-1,4,,mass_total_sd
flux_sampling_method,unitless,18,,comments
flux_submethod,unitless,18,,comments
large_particle_POC_flux,mg/m**2/d,1,large particle particulate organic carbon flux,poc
lat,decimal degrees,1,Latitude of the site,latitude
lat,degrees,18,,latitude
lat,unitless,2,"Latitude of trap deployment,Latitude of the OFP site",latitude
lat_end,degrees,12,"Latitude (recovery)  ,Latitude (recovery)  ",latitude
lat_recovery,degrees,18,,latitude
lat_resurface,degrees,18,,latitude
lat_start,degrees,20,"Latitude (deployment)  ,Latitude (deployment)  ",latitude
latitdue,degrees,1,nominal latitude,latitude
latitude,degrees,1,latitude,latitude
lon,decimal degrees,1,Longitude of the site,longitude
lon,degrees,18,,longitude
lon,unitless,2,"Longitude of trap deployment,Longitude of the OFP site",longitude
lon_end,degrees,12,"Longitude (recovery)                  ,Longitude (recovery)                  ",longitude
lon_recovery,degrees,18,,longitude
lon_resurface,degrees,18,,longitude
lon_start,degrees,20,"Longitude (deployment)  ,Longitude (deployment)  ",longitude
longitude,degrees,2,"longitude,nominal longitude",longitude
mass_flux,mg m-2 d-1,56,"<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm",mass_total
mass_flux_quality_control,unitless,56,"quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux,quality flag for particulate total mass flux",mass_total_qc
mass_flux_sed,mg m-2 d-1,1,Sediment trap-based mass flux,mass_total
